Accident_Severity,Time,Road_Surface_Conditions,Weather_Conditions,Urban_or_Rural_Area,Number_of_Vehicles
3,"20:00",Dry,"Fine without high winds",1,2
3,"15:31",Dry,"Fine without high winds",1,2
2,"09:40",Dry,"Fine without high winds",1,2
2,"09:13",Dry,"Fine without high winds",1,2
3,"14:41",Dry,"Fine without high winds",1,1
3,"08:17",Dry,"Fine without high winds",1,2
3,"11:07",Dry,"Fine without high winds",1,3
3,"20:55",Dry,"Fine without high winds",1,2
3,"23:30",Dry,"Fine without high winds",1,1
3,"20:45",Dry,"Fine without high winds",1,1
2,"20:20",Dry,"Fine without high winds",1,2
3,"13:53",Dry,"Fine without high winds",1,1
3,"14:31",Dry,"Fine without high winds",1,1
3,"09:22",Dry,"Fine without high winds",1,1
3,"18:03",Dry,"Fine without high winds",1,1
3,"13:45",Dry,"Fine without high winds",1,1
3,"15:45",Dry,"Fine without high winds",1,2
3,"08:17",Dry,"Fine without high winds",1,2
3,"23:17",Dry,"Fine without high winds",1,2
3,"19:20",Dry,"Fine without high winds",1,2
3,"12:01",Dry,"Fine without high winds",1,2
3,"23:39",Dry,"Fine without high winds",1,2
3,"11:40",Dry,"Fine without high winds",1,2
3,"12:30",Dry,"Fine without high winds",1,3
3,"12:40",Wet,"Raining without high winds",1,1
3,"09:20",Dry,"Fine without high winds",1,1
3,"08:23",Dry,"Fine without high winds",1,3
3,"18:36",Dry,"Fine without high winds",1,2
3,"17:10",Dry,"Fine without high winds",1,2
3,"15:30",Dry,"Fine without high winds",1,1
3,"03:00",Dry,"Fine without high winds",1,1
3,"09:45",Dry,"Fine without high winds",1,2
3,"14:30",Wet,"Raining without high winds",1,1
3,"11:09",Dry,"Fine without high winds",1,2
2,"17:00",Dry,"Fine without high winds",1,2
3,"15:12",Dry,"Fine without high winds",1,2
3,"13:15",Dry,"Fine without high winds",1,1
3,"21:25",Wet,"Fine without high winds",1,2
3,"00:32",Dry,"Fine without high winds",1,1
3,"08:25",Dry,"Fine without high winds",1,2
3,"09:04",Dry,"Fine without high winds",1,1
3,"16:42",Dry,"Fine without high winds",1,1
3,"08:40",Wet,"Raining without high winds",1,3
2,"23:40",Dry,"Fine without high winds",1,2
3,"18:15",Dry,"Fine without high winds",1,1
2,"06:18",Dry,"Fine without high winds",1,2
3,"10:40",Dry,"Fine without high winds",1,2
3,"08:28",Wet,"Raining without high winds",1,2
3,"12:58",Dry,"Fine without high winds",1,2
3,"19:25",Dry,"Fine without high winds",1,2
3,"08:43",Dry,"Fine without high winds",1,2
3,"13:28",Wet,"Raining without high winds",1,1
3,"18:15",Dry,"Fine without high winds",1,1
3,"15:50",Dry,"Fine without high winds",1,2
3,"09:50",Wet,"Raining without high winds",1,1
3,"20:05",Dry,"Fine without high winds",1,2
3,"22:50",Wet,"Fine without high winds",1,2
3,"10:10",Dry,"Fine without high winds",1,2
3,"18:45",Dry,"Fine without high winds",1,2
3,"17:30",Wet,"Fine without high winds",1,2
3,"09:30",Dry,"Fine without high winds",1,2
3,"12:55",Dry,"Fine without high winds",1,2
3,"12:24",Dry,"Fine without high winds",1,2
3,"17:00",Dry,"Fine without high winds",1,2
3,"19:25",Dry,"Fine without high winds",1,2
3,"19:06",Dry,"Fine without high winds",1,2
3,"07:50",Dry,"Fine without high winds",1,2
2,"20:42",Dry,"Fine without high winds",1,1
3,"13:30",Dry,"Fine without high winds",1,3
3,"21:00",Dry,"Fine without high winds",1,2
3,"17:35",Dry,"Fine without high winds",1,1
2,"17:30",Dry,"Fine without high winds",1,2
3,"14:40",Dry,"Fine without high winds",1,2
3,"00:21",Dry,"Fine without high winds",1,3
3,"00:55",Dry,"Fine without high winds",1,2
3,"20:30",Dry,"Fine without high winds",1,2
3,"08:44",Dry,"Fine without high winds",1,2
3,"08:45",Wet,"Raining without high winds",1,2
3,"17:45",Dry,"Fine without high winds",1,2
3,"19:10",Dry,"Fine without high winds",1,2
3,"21:20",Dry,"Fine without high winds",1,1
3,"13:45",Dry,"Fine without high winds",1,2
3,"17:45",Dry,"Fine without high winds",1,2
3,"12:45",Dry,"Fine without high winds",1,1
3,"17:24",Dry,"Fine without high winds",1,2
3,"18:40",Dry,"Fine without high winds",1,1
3,"08:39",Dry,"Fine without high winds",1,2
3,"14:00",Dry,"Fine without high winds",1,2
3,"05:23",Dry,"Fine without high winds",1,2
3,"13:48",Dry,"Fine without high winds",1,1
3,"16:10",Dry,"Fine without high winds",1,2
3,"18:45",Dry,"Fine without high winds",1,2
3,"13:00",Dry,"Fine without high winds",1,2
3,"18:05",Dry,"Fine without high winds",1,2
2,"21:14",Dry,"Fine without high winds",1,1
3,"16:20",Dry,"Fine without high winds",1,2
3,"16:30",Dry,"Fine without high winds",1,1
3,"12:11",Dry,"Fine without high winds",1,3
2,"17:18",Dry,"Fine without high winds",1,2
3,"13:00",Dry,"Fine without high winds",1,2
3,"23:00",Dry,"Fine without high winds",1,2
3,"13:28",Dry,"Fine without high winds",1,2
3,"17:44",Dry,"Fine without high winds",1,2
3,"16:41",Dry,"Fine without high winds",1,1
3,"16:38",Dry,"Fine without high winds",1,2
2,"19:15",Dry,"Fine without high winds",1,3
3,"18:40",Dry,"Fine without high winds",1,3
3,"18:55",Dry,"Fine without high winds",1,1
3,"23:46",Dry,"Fine without high winds",1,2
3,"11:30",Dry,"Fine without high winds",1,2
2,"20:23",Dry,"Fine without high winds",1,1
3,"18:26",Dry,"Fine without high winds",1,2
3,"14:15",Dry,"Fine without high winds",1,2
3,"12:56",Dry,"Fine without high winds",1,2
3,"11:00",Dry,"Fine without high winds",1,2
3,"03:40",Dry,"Fine without high winds",1,1
3,"20:10",Dry,"Fine without high winds",1,1
3,"15:57",Wet,"Raining without high winds",1,2
3,"19:20",Dry,"Fine without high winds",1,2
3,"01:41",Dry,"Fine without high winds",1,1
3,"08:45",Dry,"Fine without high winds",1,2
3,"21:00",Dry,"Fine without high winds",1,2
3,"15:15",Dry,"Fine without high winds",1,2
3,"20:25",Dry,"Fine without high winds",1,2
3,"12:51",Dry,"Fine without high winds",1,2
3,"08:30",Wet,"Raining without high winds",1,2
3,"16:55",Wet,"Raining without high winds",1,1
2,"22:39",Dry,"Fine without high winds",1,2
3,"20:17",Dry,"Fine without high winds",1,1
3,"00:55",Dry,"Fine without high winds",1,2
3,"13:16",Wet,"Raining without high winds",1,2
3,"12:25",Wet,"Raining without high winds",1,2
3,"12:53",Dry,"Fine without high winds",1,2
3,"20:05",Dry,"Fine without high winds",1,2
2,"19:28",Dry,"Fine without high winds",1,1
3,"17:05",Dry,"Fine without high winds",1,2
3,"16:05",Dry,"Fine without high winds",1,1
3,"12:07",Dry,"Fine without high winds",1,2
3,"09:40",Dry,"Fine without high winds",1,1
3,"15:40",Dry,"Fine without high winds",1,2
3,"08:53",Dry,"Fine without high winds",1,2
3,"12:25",Dry,"Fine without high winds",1,1
3,"19:18",Dry,"Fine without high winds",1,2
3,"17:20",Dry,"Fine without high winds",1,1
3,"07:00",Dry,"Fine without high winds",1,2
3,"16:51",Dry,"Fine without high winds",1,2
3,"16:45",Wet,"Raining without high winds",1,2
3,"16:57",Dry,"Fine without high winds",1,2
3,"13:19",Dry,"Fine without high winds",1,2
3,"12:30",Dry,"Fine without high winds",1,1
3,"11:00",Dry,"Fine without high winds",1,2
3,"08:50",Dry,"Fine without high winds",1,2
3,"07:50",Dry,"Fine without high winds",1,2
3,"08:36",Dry,"Fine without high winds",1,2
3,"09:02",Dry,"Fine without high winds",1,2
3,"12:30",Dry,"Fine without high winds",1,2
3,"18:00",Dry,"Fine without high winds",1,2
2,"15:47",Dry,"Fine without high winds",1,2
3,"21:50",Dry,"Fine without high winds",1,2
3,"12:30",Dry,"Fine without high winds",1,1
3,"10:45",Dry,"Fine without high winds",1,3
3,"23:19",Dry,"Fine without high winds",1,2
3,"18:22",Dry,"Fine without high winds",1,2
2,"11:30",Dry,"Fine without high winds",1,2
3,"18:00",Dry,"Fine without high winds",1,1
3,"18:50",Dry,"Fine without high winds",1,2
3,"20:50",Dry,"Fine without high winds",1,2
2,"23:26",Dry,"Fine without high winds",1,1
2,"18:36",Wet,"Raining without high winds",1,2
2,"08:45",Dry,"Fine without high winds",1,2
2,"18:40",Dry,"Fine without high winds",1,2
3,"22:10",Dry,"Fine without high winds",1,1
3,"08:00",Dry,"Fine without high winds",1,2
3,"12:00",Dry,"Fine without high winds",1,2
3,"04:22",Dry,"Fine without high winds",1,2
3,"13:45",Dry,"Fine without high winds",1,2
3,"22:35",Dry,"Fine without high winds",1,2
3,"10:47",Dry,"Fine without high winds",1,1
3,"21:15",Dry,"Fine without high winds",1,2
3,"16:00",Dry,"Fine without high winds",1,1
3,"18:33",Wet,"Raining without high winds",1,2
3,"19:40",Dry,"Fine without high winds",1,2
3,"15:45",Wet,"Raining without high winds",1,2
3,"19:48",Dry,"Fine without high winds",1,2
3,"10:10",Wet,"Raining without high winds",1,1
3,"16:20",Dry,"Fine without high winds",1,2
3,"09:10",Dry,"Fine without high winds",1,3
3,"10:30",Wet,"Raining without high winds",1,2
3,"12:13",Dry,"Fine without high winds",1,3
2,"15:52",Dry,"Fine without high winds",1,2
3,"18:00",Dry,"Fine without high winds",1,2
3,"16:50",Dry,"Fine without high winds",1,3
2,"23:46",Dry,"Fine without high winds",1,2
3,"16:20",Wet,"Raining without high winds",1,2
3,"08:58",Dry,"Fine without high winds",1,3
3,"14:30",Dry,"Fine without high winds",1,1
3,"15:37",Dry,"Fine without high winds",1,1
3,"13:20",Wet,"Raining without high winds",1,2
3,"10:34",Wet,"Raining without high winds",1,2
3,"10:42",Dry,"Fine without high winds",1,1
3,"11:05",Dry,"Fine without high winds",1,1
3,"01:43",Dry,"Fine without high winds",1,2
3,"09:55",Dry,"Fine without high winds",1,2
3,"10:00",Wet,"Raining without high winds",1,2
3,"13:43",Dry,"Fine without high winds",1,2
3,"07:12",Dry,"Fine without high winds",1,1
3,"12:50",Dry,"Fine without high winds",1,2
3,"23:53",Dry,"Fine without high winds",1,1
3,"19:30",Dry,"Fine without high winds",1,2
3,"15:35",Wet,"Raining without high winds",1,2
3,"07:05",Dry,"Fine without high winds",1,1
2,"11:30",Dry,"Fine without high winds",1,2
3,"11:50",Dry,"Fine without high winds",1,2
3,"13:20",Dry,"Fine without high winds",1,2
3,"07:40",Dry,"Fine without high winds",1,2
3,"18:54",Dry,"Fine without high winds",1,2
3,"19:05",Dry,"Fine without high winds",1,2
3,"17:30",Dry,"Fine without high winds",1,2
3,"07:55",Wet,"Raining without high winds",1,2
3,"10:50",Dry,"Fine without high winds",1,2
2,"23:30",Dry,"Fine without high winds",1,1
3,"19:49",Dry,"Fine without high winds",1,2
3,"23:36",Wet,"Fine without high winds",1,2
3,"18:30",Wet,"Raining without high winds",1,2
3,"15:45",Wet,"Fine without high winds",1,2
3,"02:00",Dry,"Fine without high winds",1,1
3,"17:50",Dry,"Fine without high winds",1,1
3,"18:04",Wet,"Raining without high winds",1,2
3,"19:48",Dry,"Fine without high winds",1,2
2,"13:01",Dry,"Fine without high winds",1,2
3,"07:00",Dry,"Fine without high winds",1,2
3,"23:15",Dry,"Fine without high winds",1,2
3,"18:05",Dry,"Fine without high winds",1,2
2,"15:50",Dry,"Fine without high winds",1,1
3,"17:30",Dry,"Fine without high winds",1,3
3,"13:10",Dry,"Fine without high winds",1,2
3,"23:20",Dry,"Fine without high winds",1,2
3,"15:18",Dry,"Fine without high winds",1,2
3,"14:20",Dry,"Fine without high winds",1,3
3,"14:00",Dry,"Fine without high winds",1,2
2,"09:43",Dry,"Fine without high winds",1,2
3,"16:04",Dry,"Fine without high winds",1,2
3,"16:25",Dry,"Fine without high winds",1,2
3,"09:09",Dry,"Fine without high winds",1,2
3,"16:50",Dry,"Fine without high winds",1,1
2,"18:50",Dry,"Fine without high winds",1,2
3,"21:00",Wet,"Raining without high winds",1,1
3,"07:44",Dry,"Fine without high winds",1,2
3,"17:45",Dry,"Fine without high winds",1,1
3,"19:45",Dry,"Fine without high winds",1,2
3,"00:40",Dry,"Fine without high winds",1,2
3,"10:15",Dry,"Fine without high winds",1,2
3,"08:33",Dry,"Fine without high winds",1,2
2,"17:45",Dry,"Fine without high winds",1,2
3,"18:40",Dry,"Fine without high winds",1,2
3,"14:05",Wet,"Raining without high winds",1,2
3,"17:12",Dry,"Fine without high winds",1,3
3,"07:45",Dry,"Fine without high winds",1,2
3,"18:48",Dry,"Fine without high winds",1,2
2,"16:13",Dry,"Fine without high winds",1,2
3,"18:20",Dry,"Fine without high winds",1,2
3,"21:10",Dry,"Fine without high winds",1,2
3,"20:31",Wet,"Fine without high winds",1,2
2,"10:20",Dry,"Fine without high winds",1,2
3,"09:20",Dry,"Fine with high winds",1,2
3,"08:05",Dry,"Fine without high winds",1,2
2,"21:16",Wet,"Raining without high winds",1,2
2,"23:00",Dry,"Fine without high winds",1,2
3,"11:04",Dry,"Fine without high winds",1,1
3,"11:57",Dry,"Fine without high winds",1,1
3,"09:29",Dry,"Fine without high winds",1,1
3,"17:48",Dry,"Fine without high winds",1,3
3,"07:30",Dry,"Fine without high winds",1,4
3,"18:20",Dry,"Fine without high winds",1,1
3,"20:15",Dry,"Fine without high winds",1,2
2,"12:30",Dry,"Fine without high winds",1,2
2,"23:32",Dry,"Fine without high winds",1,1
2,"09:50",Wet,"Raining without high winds",1,2
3,"16:00",Dry,"Fine without high winds",1,2
3,"14:40",Dry,"Fine without high winds",1,2
3,"11:44",Dry,"Fine without high winds",1,2
3,"19:20",Dry,"Fine without high winds",1,2
3,"16:43",Dry,"Fine without high winds",1,1
3,"16:14",Dry,"Fine without high winds",1,2
2,"08:00",Dry,"Fine without high winds",1,2
3,"11:30",Dry,"Fine without high winds",1,1
3,"12:54",Dry,"Fine without high winds",1,1
3,"09:50",Wet,"Raining without high winds",1,2
3,"17:30",Dry,"Fine without high winds",1,2
3,"14:00",Dry,"Fine without high winds",1,2
3,"14:00",Wet,"Fine without high winds",1,1
3,"08:25",Wet,"Fine without high winds",1,2
3,"08:16",Dry,"Fine without high winds",1,2
3,"13:00",Dry,"Fine without high winds",1,2
3,"21:30",Dry,"Fine without high winds",1,2
3,"13:27",Dry,"Fine without high winds",1,2
2,"23:07",Dry,"Fine without high winds",1,1
3,"12:50",Dry,"Fine without high winds",1,2
3,"15:20",Dry,"Fine without high winds",1,2
3,"13:25",Dry,"Fine without high winds",1,2
3,"10:00",Dry,"Fine without high winds",1,2
3,"16:20",Dry,"Fine without high winds",1,1
3,"19:05",Dry,"Fine without high winds",1,2
3,"13:15",Dry,"Fine without high winds",1,2
3,"16:40",Dry,"Fine without high winds",1,2
2,"00:30",Dry,"Fine without high winds",1,1
3,"20:30",Dry,"Fine without high winds",1,2
3,"16:40",Dry,"Fine without high winds",1,2
3,"08:55",Dry,"Fine without high winds",1,2
3,"12:52",Dry,"Fine without high winds",1,2
3,"19:05",Wet,"Raining without high winds",1,2
3,"16:40",Dry,"Fine without high winds",1,2
3,"19:20",Wet,"Fine without high winds",1,1
3,"14:05",Dry,"Fine without high winds",1,2
3,"23:18",Dry,"Fine without high winds",1,2
3,"16:22",Dry,"Fine without high winds",1,1
2,"10:35",Dry,"Fine without high winds",1,2
3,"11:09",Dry,"Fine without high winds",1,2
3,"07:55",Dry,"Fine without high winds",1,2
3,"12:10",Dry,"Fine without high winds",1,2
3,"15:30",Dry,"Fine without high winds",1,2
2,"07:08",Dry,"Fine without high winds",1,2
3,"16:09",Dry,"Fine without high winds",1,2
2,"07:59",Dry,"Fine without high winds",1,1
3,"18:25",Dry,"Fine without high winds",1,1
3,"17:45",Dry,"Fine without high winds",1,1
3,"22:36",Dry,"Fine without high winds",1,2
3,"20:30",Wet,"Raining without high winds",1,2
3,"15:11",Dry,"Fine without high winds",1,1
2,"19:55",Dry,"Fine without high winds",1,2
3,"19:46",Dry,"Fine without high winds",1,2
3,"16:00",Dry,"Fine without high winds",1,2
2,"13:49",Dry,"Fine without high winds",1,2
3,"19:21",Dry,"Fine without high winds",1,2
3,"10:25",Wet,"Raining without high winds",1,1
3,"17:35",Wet,"Raining without high winds",1,1
3,"12:25",Dry,"Fine without high winds",1,2
3,"19:38",Dry,"Fine without high winds",1,2
3,"18:19",Dry,"Fine without high winds",1,1
3,"18:49",Dry,"Fine without high winds",1,1
2,"07:18",Dry,"Fine without high winds",1,2
3,"16:30",Dry,"Fine without high winds",1,2
3,"15:44",Dry,"Fine without high winds",1,2
3,"16:57",Wet,"Raining without high winds",1,2
3,"12:20",Dry,"Fine without high winds",1,1
2,"23:54",Dry,"Fine without high winds",1,1
3,"17:34",Wet,"Raining without high winds",1,2
3,"00:10",Dry,"Fine without high winds",1,3
3,"19:20",Wet,"Raining without high winds",1,2
3,"17:50",Dry,"Fine without high winds",1,2
3,"16:20",Wet,"Raining without high winds",1,3
3,"20:05",Dry,"Fine without high winds",1,2
3,"18:00",Dry,"Fine without high winds",1,2
2,"22:55",Dry,"Other",1,1
3,"13:15",Dry,"Fine without high winds",1,1
3,"18:43",Dry,"Fine without high winds",1,2
3,"11:40",Dry,"Fine without high winds",1,1
3,"15:58",Dry,"Fine without high winds",1,2
3,"09:03",Dry,"Fine without high winds",1,2
3,"20:09",Dry,"Fine without high winds",1,2
3,"11:10",Dry,"Fine without high winds",1,1
3,"07:40",Dry,"Fine without high winds",1,1
3,"09:25",Dry,"Fine without high winds",1,2
3,"16:00",Dry,"Fine without high winds",1,1
3,"08:45",Dry,"Fine without high winds",1,2
3,"09:09",Dry,"Fine without high winds",1,2
3,"16:20",Dry,"Fine without high winds",1,3
3,"12:35",Dry,"Fine without high winds",1,2
2,"20:46",Dry,"Fine without high winds",1,1
3,"15:00",Dry,"Fine without high winds",1,3
3,"18:38",Dry,"Fine without high winds",1,2
3,"23:55",Dry,"Fine without high winds",1,2
3,"15:40",Dry,"Fine without high winds",1,2
3,"16:30",Dry,"Fine without high winds",1,1
3,"10:35",Dry,"Fine without high winds",1,2
3,"04:54",Dry,"Fine without high winds",1,1
3,"09:00",Dry,"Fine without high winds",1,2
3,"09:00",Dry,"Fine without high winds",1,2
2,"11:15",Dry,"Fine without high winds",1,1
3,"08:25",Dry,"Fine without high winds",1,2
3,"22:10",Dry,"Fine without high winds",1,1
3,"19:14",Dry,"Fine without high winds",1,1
3,"19:14",Dry,"Fine without high winds",1,2
3,"09:05",Dry,"Fine without high winds",1,2
3,"21:49",Dry,"Fine without high winds",1,1
3,"18:27",Wet,"Raining without high winds",1,2
3,"16:09",Dry,"Fine without high winds",1,1
3,"14:55",Dry,"Fine without high winds",1,1
3,"07:40",Wet,"Raining without high winds",1,2
3,"13:19",Dry,"Fine without high winds",1,2
3,"10:05",Dry,"Fine without high winds",1,1
2,"11:42",Wet,"Fine without high winds",1,2
3,"16:40",Dry,"Fine without high winds",1,2
3,"04:52",Dry,"Fine without high winds",1,2
3,"19:01",Dry,"Fine without high winds",1,1
2,"13:15",Dry,"Fine without high winds",1,2
2,"07:35",Dry,"Fine without high winds",1,2
3,"13:50",Dry,"Fine without high winds",1,1
3,"18:29",Dry,"Fine without high winds",1,2
3,"14:10",Dry,"Fine without high winds",1,2
3,"16:21",Dry,"Fine without high winds",1,2
2,"07:55",Dry,"Fine without high winds",1,1
3,"23:30",Dry,"Fine without high winds",1,1
3,"20:45",Wet,"Raining without high winds",1,2
3,"22:55",Dry,"Fine without high winds",1,1
3,"16:02",Wet,"Fine without high winds",1,1
3,"12:15",Dry,"Fine without high winds",1,2
3,"10:26",Dry,"Fine without high winds",1,2
3,"12:34",Dry,"Fine without high winds",1,3
3,"16:00",Dry,"Fine without high winds",1,1
3,"15:05",Dry,"Fine without high winds",1,1
3,"16:12",Dry,"Fine without high winds",1,2
2,"10:20",Dry,"Fine without high winds",1,2
3,"17:55",Dry,"Fine without high winds",1,1
3,"19:00",Dry,"Fine without high winds",1,2
3,"18:33",Dry,"Fine without high winds",1,2
3,"17:05",Dry,"Fine without high winds",1,2
2,"15:38",Dry,"Fine without high winds",1,1
3,"08:30",Dry,"Fine without high winds",1,1
3,"14:30",Dry,"Fine without high winds",1,2
3,"21:10",Dry,"Fine without high winds",1,2
3,"22:50",Dry,"Fine without high winds",1,2
3,"20:20",Dry,"Fine without high winds",1,2
3,"20:10",Dry,"Fine without high winds",1,2
3,"12:10",Dry,"Fine without high winds",1,3
3,"14:55",Dry,"Fine without high winds",1,1
3,"16:25",Dry,"Fine without high winds",1,1
2,"08:27",Dry,"Fine without high winds",1,1
3,"17:33",Dry,"Fine without high winds",1,2
3,"15:52",Wet,"Raining without high winds",1,1
3,"08:22",Dry,"Fine without high winds",1,1
2,"23:00",Dry,"Fine without high winds",1,1
3,"07:20",Dry,"Fine without high winds",1,2
3,"13:35",Dry,"Fine without high winds",1,4
3,"08:55",Dry,"Fine without high winds",1,2
3,"11:55",Dry,"Fine without high winds",1,2
3,"13:40",Dry,"Fine without high winds",1,1
2,"07:50",Wet,"Raining without high winds",1,2
2,"08:28",Dry,"Fine without high winds",1,2
2,"18:15",Wet,"Raining without high winds",1,2
3,"20:20",Dry,"Fine without high winds",1,2
3,"09:30",Dry,"Fine without high winds",1,2
3,"14:04",Dry,"Fine without high winds",1,2
3,"13:10",Dry,"Fine without high winds",1,3
3,"08:27",Dry,"Fine without high winds",1,2
3,"21:20",Dry,"Fine without high winds",1,2
3,"08:30",Dry,"Fine without high winds",1,2
3,"08:40",Dry,"Fine without high winds",1,2
3,"19:35",Dry,"Fine without high winds",1,4
3,"10:30",Dry,"Fine without high winds",1,2
3,"09:00",Dry,"Fine without high winds",1,2
3,"01:30",Dry,"Fine without high winds",1,2
3,"09:59",Dry,"Fine without high winds",1,1
3,"01:45",Wet,"Fine with high winds",1,2
3,"11:40",Dry,"Fine without high winds",1,1
3,"07:44",Dry,"Fine without high winds",1,2
3,"16:35",Dry,"Fine without high winds",1,2
3,"00:25",Wet,"Raining without high winds",1,2
3,"15:25",Dry,"Fine without high winds",1,2
3,"08:03",Dry,"Fine without high winds",1,3
3,"20:15",Wet,"Raining without high winds",1,1
3,"18:45",Dry,"Fine without high winds",1,2
3,"12:10",Dry,"Fine without high winds",1,1
2,"18:26",Wet,"Raining without high winds",1,2
2,"14:10",Dry,"Fine without high winds",1,1
3,"13:15",Dry,"Fine without high winds",1,2
3,"15:53",Dry,"Fine without high winds",1,2
3,"12:17",Wet,"Fine without high winds",1,1
3,"08:35",Dry,"Fine without high winds",1,2
3,"11:39",Dry,"Fine without high winds",1,2
2,"20:45",Dry,"Fine without high winds",1,1
3,"16:51",Dry,"Fine without high winds",1,2
3,"17:00",Dry,"Fine without high winds",1,2
3,"14:18",Dry,"Fine without high winds",1,1
3,"22:40",Wet,"Raining without high winds",1,2
2,"18:20",Dry,"Fine without high winds",1,4
3,"10:40",Dry,"Fine without high winds",1,2
